k,lhs,rhs
2.12064,0.401819,-0.0174916
2.12075,0.402347,-0.0180237
2.12086,0.402871,-0.018579
2.12096,0.40339,-0.0191594
2.12107,0.403905,-0.0197671
2.12118,0.404416,-0.0204046
2.12129,0.404923,-0.0210747
2.1214,0.405425,-0.0217805
2.12151,0.405922,-0.0225256
2.12161,0.406415,-0.0233138
2.12172,0.406904,-0.0241498
2.12183,0.407388,-0.0250387
2.12194,0.407868,-0.0259865
2.12205,0.408344,-0.027
2.12215,0.408815,-0.0280872
2.12226,0.409282,-0.0292573
2.12237,0.409744,-0.0305211
2.12248,0.410202,-0.0318916
2.12259,0.410655,-0.0333838
2.12269,0.411104,-0.0350162
2.1228,0.411549,-0.0368107
2.12291,0.411989,-0.0387942
2.12302,0.412424,-0.0410001
2.12313,0.412855,-0.0434698
2.12323,0.413282,-0.0462558
2.12334,0.413704,-0.0494251
2.12345,0.414122,-0.0530657
2.12356,0.414535,-0.057294
2.12367,0.414944,-0.0622687
2.12378,0.415348,-0.0682106
2.12388,0.415748,-0.0754376
2.12399,0.416143,-0.0844236
2.1241,0.416534,-0.095908
2.12421,0.41692,-0.111112
2.12432,0.417302,-0.132207
2.12442,0.417679,-0.163464
2.12453,0.418051,-0.214592
2.12464,0.41842,-0.31346
2.12475,0.418783,-0.585766
2.12486,0.419143,-4.76443
2.12496,0.419497,0.767658
2.12507,0.419847,0.353165
2.12518,0.420193,0.228425
2.12529,0.420534,0.168277
2.1254,0.42087,0.132856
2.1255,0.421202,0.109504
2.12561,0.42153,0.0929444
2.12572,0.421853,0.0805846
2.12583,0.422171,0.071003
2.12594,0.422485,0.0633546
2.12605,0.422794,0.0571056
2.12615,0.423099,0.0519022
2.12626,0.423399,0.0475006
2.12637,0.423694,0.0437274
2.12648,0.423985,0.0404559
2.12659,0.424272,0.0375913
2.12669,0.424554,0.0350613
2.1268,0.424831,0.0328099
2.12691,0.425104,0.0307928
2.12702,0.425372,0.0289747
2.12713,0.425635,0.0273272
2.12723,0.425894,0.0258268
2.12734,0.426148,0.0244544
2.12745,0.426398,0.0231939
2.12756,0.426643,0.0220319
2.12767,0.426884,0.0209572
2.12777,0.42712,0.0199599
2.12788,0.427352,0.0190318
2.12799,0.427578,0.0181658
2.1281,0.427801,0.0173558
2.12821,0.428018,0.0165963
2.12832,0.428231,0.0158826
2.12842,0.42844,0.0152107
2.12853,0.428644,0.0145768
2.12864,0.428843,0.0139779
2.12875,0.429037,0.0134109
2.12886,0.429227,0.0128733
2.12896,0.429413,0.012363
2.12907,0.429594,0.0118777
2.12918,0.42977,0.0114158
2.12929,0.429941,0.0109754
2.1294,0.430108,0.0105552
2.1295,0.430271,0.0101537
2.12961,0.430429,0.00976979
2.12972,0.430582,0.00940224
2.12983,0.43073,0.00905005
2.12994,0.430874,0.00871229
2.13004,0.431013,0.00838809
2.13015,0.431148,0.00807667
2.13026,0.431278,0.00777729
2.13037,0.431403,0.00748929
2.13048,0.431524,0.00721205
2.13059,0.43164,0.006945
2.13069,0.431752,0.00668761
2.1308,0.431859,0.0064394
2.13091,0.431961,0.0061999
2.13102,0.432059,0.0059687
2.13113,0.432152,0.0057454
2.13123,0.43224,0.00552964
2.13134,0.432324,0.00532109
2.13145,0.432403,0.00511941
2.13156,0.432478,0.00492432
2.13167,0.432547,0.00473553
2.13177,0.432613,0.00455279
2.13188,0.432673,0.00437585
2.13199,0.432729,0.00420449
2.1321,0.432781,0.00403848
2.13221,0.432828,0.00387764
2.13231,0.43287,0.00372176
2.13242,0.432907,0.00357068
2.13253,0.43294,0.00342421
2.13264,0.432968,0.00328222
2.13275,0.432992,0.00314454
2.13286,0.433011,0.00301103
2.13296,0.433026,0.00288157
2.13307,0.433035,0.00275603
2.13318,0.43304,0.00263429
2.13329,0.433041,0.00251623
2.1334,0.433037,0.00240176
2.1335,0.433028,0.00229078
2.13361,0.433015,0.00218318
2.13372,0.432997,0.00207889
2.13383,0.432974,0.00197781
2.13394,0.432947,0.00187987
2.13404,0.432915,0.00178499
2.13415,0.432879,0.0016931
2.13426,0.432838,0.00160413
2.13437,0.432792,0.00151802
2.13448,0.432742,0.00143471
2.13458,0.432687,0.00135414
2.13469,0.432628,0.00127626
2.1348,0.432564,0.00120102
2.13491,0.432495,0.00112836
2.13502,0.432422,0.00105825
2.13513,0.432344,0.000990637
2.13523,0.432261,0.000925488
2.13534,0.432174,0.000862762
2.13545,0.432082,0.000802424
2.13556,0.431986,0.000744441
2.13567,0.431885,0.000688782
2.13577,0.43178,0.000635419
2.13588,0.43167,0.000584324
2.13599,0.431555,0.000535473
2.1361,0.431436,0.000488843
2.13621,0.431312,0.000444413
2.13631,0.431183,0.000402162
2.13642,0.43105,0.000362075
2.13653,0.430913,0.000324135
2.13664,0.430771,0.000288327
2.13675,0.430624,0.00025464
2.13685,0.430473,0.000223063
2.13696,0.430317,0.000193586
2.13707,0.430156,0.000166201
2.13718,0.429991,0.000140904
2.13729,0.429822,0.000117689
2.1374,0.429647,0.0000965533
2.1375,0.429469,0.0000774958
2.13761,0.429285,0.0000605167
2.13772,0.429098,0.0000456178
2.13783,0.428905,0.0000328026
2.13794,0.428708,0.0000220759
2.13804,0.428507,0.0000134445
2.13815,0.428301,0.00000691656
2.13826,0.42809,0.000002502
2.13837,0.427875,0.000000212386
2.13848,0.427655,0.0000000610234
2.13858,0.427431,0.00000206296
2.13869,0.427203,0.00000623504
2.1388,0.426969,0.0000125959
2.13891,0.426732,0.0000211662
2.13902,0.426489,0.0000319685
2.13912,0.426243,0.0000450272
2.13923,0.425991,0.000060369
2.13934,0.425736,0.0000780227
2.13945,0.425475,0.0000980193
2.13956,0.42521,0.000120392
2.13967,0.424941,0.000145177
2.13977,0.424667,0.000172412
2.13988,0.424389,0.000202138
2.13999,0.424106,0.0002344
2.1401,0.423819,0.000269242
2.14021,0.423527,0.000306716
2.14031,0.423231,0.000346874
2.14042,0.42293,0.000389772
2.14053,0.422625,0.00043547
2.14064,0.422316,0.000484031
2.14075,0.422001,0.000535522
2.14085,0.421683,0.000590016
2.14096,0.42136,0.000647589
2.14107,0.421032,0.00070832
2.14118,0.420701,0.000772296
2.14129,0.420364,0.000839608
2.14139,0.420023,0.000910352
2.1415,0.419678,0.000984632
2.14161,0.419329,0.00106256
2.14172,0.418975,0.00114424
2.14183,0.418616,0.00122981
2.14194,0.418253,0.00131939
2.14204,0.417886,0.00141312
2.14215,0.417514,0.00151116
2.14226,0.417138,0.00161366
2.14237,0.416757,0.00172079
2.14248,0.416373,0.00183274
2.14258,0.415983,0.00194968
2.14269,0.41559,0.00207184
2.1428,0.415191,0.00219942
2.14291,0.414789,0.00233267
2.14302,0.414382,0.00247184
2.14312,0.413971,0.00261719
2.14323,0.413555,0.00276903
