k, beta 
6.12377e-02, 6.75000e+00 
6.13085e-02, 6.76000e+00 
6.13793e-02, 6.77000e+00 
6.14501e-02, 6.78000e+00 
6.15210e-02, 6.79000e+00 
6.15919e-02, 6.80000e+00 
6.16628e-02, 6.81000e+00 
6.17337e-02, 6.82000e+00 
6.18047e-02, 6.83000e+00 
6.18757e-02, 6.84000e+00 
6.19467e-02, 6.85000e+00 
6.20178e-02, 6.86000e+00 
6.20888e-02, 6.87000e+00 
6.21599e-02, 6.88000e+00 
6.22311e-02, 6.89000e+00 
6.23022e-02, 6.90000e+00 
6.23734e-02, 6.91000e+00 
6.24447e-02, 6.92000e+00 
6.25159e-02, 6.93000e+00 
6.25872e-02, 6.94000e+00 
6.26585e-02, 6.95000e+00 
6.27298e-02, 6.96000e+00 
6.28012e-02, 6.97000e+00 
6.28725e-02, 6.98000e+00 
6.29440e-02, 6.99000e+00 
6.30154e-02, 7.00000e+00 
6.30869e-02, 7.01000e+00 
6.31583e-02, 7.02000e+00 
6.32299e-02, 7.03000e+00 
6.33014e-02, 7.04000e+00 
6.33730e-02, 7.05000e+00 
6.34446e-02, 7.06000e+00 
6.35162e-02, 7.07000e+00 
6.35878e-02, 7.08000e+00 
6.36595e-02, 7.09000e+00 
6.37312e-02, 7.10000e+00 
6.38029e-02, 7.11000e+00 
6.38747e-02, 7.12000e+00 
6.39464e-02, 7.13000e+00 
6.40182e-02, 7.14000e+00 
6.40901e-02, 7.15000e+00 
6.41619e-02, 7.16000e+00 
6.42338e-02, 7.17000e+00 
6.43057e-02, 7.18000e+00 
6.43776e-02, 7.19000e+00 
6.44495e-02, 7.20000e+00 
6.45215e-02, 7.21000e+00 
6.45935e-02, 7.22000e+00 
6.46655e-02, 7.23000e+00 
6.47376e-02, 7.24000e+00 
6.48096e-02, 7.25000e+00 
6.48817e-02, 7.26000e+00 
6.49539e-02, 7.27000e+00 
6.50260e-02, 7.28000e+00 
6.50982e-02, 7.29000e+00 
6.51703e-02, 7.30000e+00 
6.52425e-02, 7.31000e+00 
6.53148e-02, 7.32000e+00 
